╔══════════════════════════════════════════════════════════════════════════════╗
║                        Labels Diff Report (813×1626)                         ║
╠══════════════════════════════════════════════════════════════════════════════╣
║ Name                           │ Ext  │    Diff% │   Actual(WxH) │ Expected(WxH) │ Status       ║
╠══════════════════════════════════════════════════════════════════════════════╣
║ amazon                         │ zpl  │    1.08% │      813x1626 │      813x1626 │ MINOR(<5%)   ║
║ amazonshipping                 │ zpl  │    2.29% │      813x1626 │      813x1626 │ MINOR(<5%)   ║
║ auspost                        │ zpl  │    1.93% │      813x1626 │      813x1626 │ MINOR(<5%)   ║
║ bpost                          │ zpl  │    1.78% │      813x1626 │      813x1626 │ MINOR(<5%)   ║
║ brtit                          │ zpl  │    1.45% │      813x1626 │      813x1626 │ MINOR(<5%)   ║
║ bstc                           │ zpl  │    0.00% │      813x1626 │      813x1626 │ PERFECT      ║
║ canadapost                     │ zpl  │    2.22% │      813x1626 │      813x1626 │ MINOR(<5%)   ║
║ colissimo                      │ zpl  │    2.09% │      813x1626 │      813x1626 │ MINOR(<5%)   ║
║ correos                        │ zpl  │    1.91% │      813x1626 │      813x1626 │ MINOR(<5%)   ║
║ dbs                            │ zpl  │    1.87% │      813x1626 │      813x1626 │ MINOR(<5%)   ║
║ dbschenker                     │ zpl  │    2.70% │      813x1626 │      813x1626 │ MINOR(<5%)   ║
║ dhl_express                    │ zpl  │    1.26% │      813x1626 │      813x1626 │ MINOR(<5%)   ║
║ dhl_home_delivery              │ zpl  │    1.84% │      813x1626 │      813x1626 │ MINOR(<5%)   ║
║ dhlecommercetr                 │ zpl  │    2.51% │      813x1626 │      813x1626 │ MINOR(<5%)   ║
║ dhlpaket                       │ zpl  │    1.48% │      813x1626 │      813x1626 │ MINOR(<5%)   ║
║ dhlparcelit                    │ zpl  │    2.43% │      813x1626 │      813x1626 │ MINOR(<5%)   ║
║ dhlparceluk                    │ zpl  │    3.63% │      813x1626 │      813x1626 │ MINOR(<5%)   ║
║ dpdde                          │ zpl  │    2.55% │      813x1626 │      813x1626 │ MINOR(<5%)   ║
║ dpdpl                          │ zpl  │    5.60% │      813x1626 │      813x1626 │ MODERATE(<15%) ║
║ dpduk                          │ epl  │    4.00% │      813x1626 │      813x1626 │ MINOR(<5%)   ║
║ epl2_showcase                  │ epl  │    0.00% │      813x1626 │      813x1626 │ PERFECT      ║
║ evri                           │ zpl  │    1.40% │      813x1626 │      813x1626 │ MINOR(<5%)   ║
║ fedex                          │ zpl  │    4.85% │      813x1626 │      813x1626 │ MINOR(<5%)   ║
║ fedex_express                  │ zpl  │    6.24% │      813x1626 │      813x1626 │ MODERATE(<15%) ║
║ fedex_ground                   │ zpl  │    5.45% │      813x1626 │      813x1626 │ MODERATE(<15%) ║
║ glscz                          │ zpl  │    1.91% │      813x1626 │      813x1626 │ MINOR(<5%)   ║
║ glsdk_return                   │ zpl  │    2.84% │      813x1626 │      813x1626 │ MINOR(<5%)   ║
║ icapaket                       │ zpl  │    3.06% │      813x1626 │      813x1626 │ MINOR(<5%)   ║
║ inpost                         │ zpl  │    2.99% │      813x1626 │      813x1626 │ MINOR(<5%)   ║
║ jcpenney                       │ zpl  │    2.84% │      813x1626 │      813x1626 │ MINOR(<5%)   ║
║ kmart                          │ zpl  │    3.95% │      813x1626 │      813x1626 │ MINOR(<5%)   ║
║ labelary                       │ zpl  │    1.84% │      813x1626 │      813x1626 │ MINOR(<5%)   ║
║ ontrac                         │ zpl  │    1.89% │      813x1626 │      813x1626 │ MINOR(<5%)   ║
║ pnldpd                         │ zpl  │    7.57% │      813x1626 │      813x1626 │ MODERATE(<15%) ║
║ pocztex                        │ zpl  │    2.31% │      813x1626 │      813x1626 │ MINOR(<5%)   ║
║ porterbuddy                    │ zpl  │    5.64% │      813x1626 │      813x1626 │ MODERATE(<15%) ║
║ posteit                        │ zpl  │    3.26% │      813x1626 │      813x1626 │ MINOR(<5%)   ║
║ posten                         │ zpl  │    1.17% │      813x1626 │      813x1626 │ MINOR(<5%)   ║
║ postnl                         │ zpl  │    1.78% │      813x1626 │      813x1626 │ MINOR(<5%)   ║
║ purolator                      │ zpl  │    1.94% │      813x1626 │      813x1626 │ MINOR(<5%)   ║
║ royalmail                      │ zpl  │    1.48% │      813x1626 │      813x1626 │ MINOR(<5%)   ║
║ seur                           │ zpl  │    2.34% │      813x1626 │      813x1626 │ MINOR(<5%)   ║
║ swisspost                      │ zpl  │    0.98% │      813x1626 │      813x1626 │ GOOD(<1%)    ║
║ tnt_express                    │ zpl  │    2.71% │      813x1626 │      813x1626 │ MINOR(<5%)   ║
║ ups                            │ zpl  │    2.98% │      813x1626 │      813x1626 │ MINOR(<5%)   ║
║ ups_import_control             │ zpl  │    3.59% │      813x1626 │      813x1626 │ MINOR(<5%)   ║
║ ups_surepost                   │ zpl  │    3.59% │      813x1626 │      813x1626 │ MINOR(<5%)   ║
║ usps                           │ zpl  │    2.40% │      813x1626 │      813x1626 │ MINOR(<5%)   ║
║ usps_apo                       │ zpl  │    3.46% │      813x1626 │      813x1626 │ MINOR(<5%)   ║
║ usps_intl                      │ zpl  │    2.83% │      813x1626 │      813x1626 │ MINOR(<5%)   ║
║ yodel                          │ zpl  │    1.74% │      813x1626 │      813x1626 │ MINOR(<5%)   ║
╠══════════════════════════════════════════════════════════════════════════════╣
║ Summary: 51 total │ 2 perfect │ 1 good │ 43 minor │ 5 moderate │ 0 high │ 0 skip │ 0 err
╚══════════════════════════════════════════════════════════════════════════════╝
